4917,1000,788,1.111,447,9,0 0 1 0 8 1 0 
17150,1000,1,0.476,746,21,0 1 0 2 10 3 6 
301,1000,1,0.345,1034,29,1 1 1 2 10 9 6 
229,1000,1,0.294,1183,34,0 1 0 2 10 12 10 
216,1000,4,0.303,1172,33,1 2 1 2 10 12 6 
218,1000,600,0.345,1094,29,2 0 1 1 9 12 5 
200,1000,2,0.278,1217,36,1 1 2 3 10 12 8 
176,1000,1,0.294,1144,34,1 2 0 2 9 12 9 
180,1000,194,0.286,1108,35,1 2 0 0 9 12 12 
99,1000,1,0.357,1125,28,2 1 1 3 9 12 1 
